YEAR_MONTH,REGIONAL_OFFICE_NAME,REGIONAL_OFFICE_CODE,ICB_NAME,ICB_CODE,PCO_NAME,PCO_CODE,PRACTICE_NAME,PRACTICE_CODE,ADDRESS_1,ADDRESS_2,ADDRESS_3,ADDRESS_4,POSTCODE,BNF_CHEMICAL_SUBSTANCE_CODE,BNF_CHEMICAL_SUBSTANCE,BNF_PRESENTATION_CODE,BNF_PRESENTATION_NAME,BNF_CHAPTER_PLUS_CODE,QUANTITY,ITEMS,TOTAL_QUANTITY,ADQ_USAGE,NIC,ACTUAL_COST,UNIDENTIFIED,SNOMED_CODE
2025-12,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,C&F COMMUNITY,Y08840,MEDICINES OPTIMISATION,WEST HEATH HOSPITAL,BIRMINGHAM,,B38 8HR,0501013K0,Co-amoxiclav (Amoxicillin/clavulanic acid),0501013K0AAAIAI,Co-amoxiclav 250mg/62mg/5ml oral suspension,05: Infections,100,4,400,0,14.4,13.73195,N,7322311000001107
2025-12,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,C&F COMMUNITY,Y08840,MEDICINES OPTIMISATION,WEST HEATH HOSPITAL,BIRMINGHAM,,B38 8HR,2003,Wound Management & Other Dressings,20031700015,Flaminal Forte gel dressing,20: Dressings,30,1,30,0,17.16,15.47942,N,10708311000001106
2025-12,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,C&F COMMUNITY,Y08840,MEDICINES OPTIMISATION,WEST HEATH HOSPITAL,BIRMINGHAM,,B38 8HR,2003,Wound Management & Other Dressings,20030900271,kliniderm Foam Silicone Sacrum Border dressing 18cm x 18cm,20: Dressings,10,1,10,0,37.9,34.17325,N,40018111000001100
2025-12,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,C&F COMMUNITY,Y08840,MEDICINES OPTIMISATION,WEST HEATH HOSPITAL,BIRMINGHAM,,B38 8HR,1103010C0,Chloramphenicol,1103010C0AAAAAA,Chloramphenicol 0.5% eye drops,11: Eye,20,1,20,0,3.34,3.3524,N,42186611000001100
2025-12,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,ASR NUTRITION,Y08738,BCHC MEDICINES MANAGEMENT,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,B38 8HR,2003,Wound Management & Other Dressings,20031700016,Flaminal Hydro gel dressing,20: Dressings,30,1,30,0,17.16,15.47942,N,10708811000001102
2025-12,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,ASR NUTRITION,Y08738,BCHC MEDICINES MANAGEMENT,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,B38 8HR,2003,Wound Management & Other Dressings,20030600445,PolyMem dressing 7cm x 7cm tube,20: Dressings,14,2,28,0,53.48,48.22855,N,18739211000001104
2025-12,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,ASR NUTRITION,Y08738,BCHC MEDICINES MANAGEMENT,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,B38 8HR,2003,Wound Management & Other Dressings,20031700016,Flaminal Hydro gel dressing,20: Dressings,15,1,15,0,8.58,7.74591,N,10708811000001102
2025-12,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,WEST MIDLANDS REHABILITATION CENTRE,Y04249,91 OAK TREE LANE,SELLY OAK,BIRMINGHAM,,B29 6JA,0501013B0,Amoxicillin,0501013B0AAABAB,Amoxicillin 500mg capsules,05: Infections,15,2,30,20,1.74,1.4162,N,39732411000001100
2025-12,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,HEALTH VISITING,Y08828,BCHC WEST HEATH HOSPITAL,REDNAL ROAD,,BIRMINGHAM,B38 8HR,2122,Emollients,21220000215,Zerocream,21: Appliances,500,1,500,0,4.36,3.94225,N,14734011000001106
2025-12,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,C&F COMMUNITY,Y08840,MEDICINES OPTIMISATION,WEST HEATH HOSPITAL,BIRMINGHAM,,B38 8HR,0501013K0,Co-amoxiclav (Amoxicillin/clavulanic acid),0501013K0AAAPAP,Co-amoxiclav 400mg/57mg/5ml oral suspension,05: Infections,140,1,140,0,11.58,11.01529,N,43801211000001100
