YEAR_MONTH,REGIONAL_OFFICE_NAME,REGIONAL_OFFICE_CODE,ICB_NAME,ICB_CODE,PCO_NAME,PCO_CODE,PRACTICE_NAME,PRACTICE_CODE,ADDRESS_1,ADDRESS_2,ADDRESS_3,ADDRESS_4,POSTCODE,BNF_CHEMICAL_SUBSTANCE,CHEMICAL_SUBSTANCE_BNF_DESCR,BNF_CODE,BNF_DESCRIPTION,BNF_CHAPTER_PLUS_CODE,QUANTITY,ITEMS,TOTAL_QUANTITY,ADQUSAGE,NIC,ACTUAL_COST,UNIDENTIFIED,SNOMED_CODE
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,CHILDREN AND FAMILIES DIVISION,Y04441,MOSELEY HALL HOSPITAL,ALCESTER ROAD,BIRMINGHAM,,B13 8JL,190201000,Other individually formulated bought in preparations,190201000AABNBN,Exception Handler Discount Not Deducted Item,19: Other Drugs and Preparations,200,1,200,0,172.64,172.6524,false,
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,LEARNING DISABILITIES SERVICE,Y04221,THE GREENFIELDS,30 BROOKFIELD ROAD,BIRMINGHAM,,B30 3QY,0401020K0,Diazepam,0401020K0AAAHAH,Diazepam 2mg tablets,04: Central Nervous System,28,1,28,5.6,0.64,0.52439,false,42128111000001101
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0501013K0,Co-amoxiclav (Amoxicillin/clavulanic acid),0501013K0AAAJAJ,Co-amoxiclav 500mg/125mg tablets,05: Infections,15,2,30,10,4.2,3.58473,false,39732211000001107
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BIRMINGHAM DENTAL HOSPITAL,Y04376,5 MILL POOL WAY,,BIRMINGHAM,,B5 7EG,0408010G0,Gabapentin,0408010G0AAABAB,Gabapentin 300mg capsules,04: Central Nervous System,28,1,28,7,0.63,0.7424,false,42129711000001109
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BIRMINGHAM DENTAL HOSPITAL,Y04376,5 MILL POOL WAY,,BIRMINGHAM,,B5 7EG,0502030B0,Nystatin,0502030B0AAABAB,"Nystatin 100,000units/ml oral suspension",05: Infections,90,5,450,112.5,27,25.71152,false,41792811000001106
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,2315,Adhesive Removers (Sprays/Liquids/Wipes),23150701505,Dansac EasiSpray adhesive remover,23: Stoma Appliances,400,1,400,0,57.12,51.50595,false,30234811000001107
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0205052AE,Sacubitril/valsartan,0205052AEAAACAC,Sacubitril 24mg / Valsartan 26mg tablets,02: Cardiovascular System,56,1,56,0,91.56,91.5724,false,31142011000001103
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0501130R0,Nitrofurantoin,0501130R0AAABAB,Nitrofurantoin 100mg capsules,05: Infections,14,1,14,7,2.45,2.07236,false,41952811000001109
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,CHILDREN AND FAMILIES DIVISION,Y04441,MOSELEY HALL HOSPITAL,ALCESTER ROAD,BIRMINGHAM,,B13 8JL,0602010V0,Levothyroxine sodium,0602010V0AAFZFZ,Levothyroxine sodium 25micrograms/5ml soln sugar free,06: Endocrine System,200,1,200,10,139.56,111.65806,false,10749711000001108
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0501011P0,Phenoxymethylpenicillin (Penicillin V),0501011P0AAAJAJ,Phenoxymethylpenicillin 250mg tablets,05: Infections,40,1,40,10,1.54,1.34437,false,41953811000001101
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BIRMINGHAM DENTAL HOSPITAL,Y04376,5 MILL POOL WAY,,BIRMINGHAM,,B5 7EG,0603020C0,Betamethasone sodium phosphate,0603020C0AAABAB,Betamethasone 500microgram soluble tablets sugar free,06: Endocrine System,112,36,4032,0,640.44,516.38766,false,39697311000001102
