YEAR_MONTH,REGIONAL_OFFICE_NAME,REGIONAL_OFFICE_CODE,ICB_NAME,ICB_CODE,PCO_NAME,PCO_CODE,PRACTICE_NAME,PRACTICE_CODE,ADDRESS_1,ADDRESS_2,ADDRESS_3,ADDRESS_4,POSTCODE,BNF_CHEMICAL_SUBSTANCE_CODE,BNF_CHEMICAL_SUBSTANCE,BNF_PRESENTATION_CODE,BNF_PRESENTATION_NAME,BNF_CHAPTER_PLUS_CODE,QUANTITY,ITEMS,TOTAL_QUANTITY,ADQ_USAGE,NIC,ACTUAL_COST,UNIDENTIFIED,SNOMED_CODE
2025-10,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,UCR (INC EICT),Y08859,MEDICINES OPTIMISATION,WEST HEATH HOSPITAL,BIRMINGHAM,,B38 8HR,0301011R0,Salbutamol,0301011R0AAAPAP,Salbutamol 100micrograms/dose inhaler CFC free,03: Respiratory System,1,1,1,50,1.5,1.4375,N,39113611000001100
2025-10,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,TISSUE VIABILITY WOUND CLINIC,Y08643,ST STEPHEN'S CENTRE,171 NINEVEH ROAD,BIRMINGHAM,WEST MIDLANDS,B21 0SY,2003,Wound Management & Other Dressings,20033000432,EmDress sterile dressing pack with gloves,20: Dressings,10,1,10,0,6.6,5.96184,N,42397011000001100
2025-10,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,UCR (INC EICT),Y08859,MEDICINES OPTIMISATION,WEST HEATH HOSPITAL,BIRMINGHAM,,B38 8HR,0501030I0,Doxycycline hyclate,0501030I0AAABAB,Doxycycline 100mg capsules,05: Infections,6,3,18,18,1.65,1.65692,N,41948311000001100
2025-10,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,UCR (INC EICT),Y08859,MEDICINES OPTIMISATION,WEST HEATH HOSPITAL,BIRMINGHAM,,B38 8HR,0407010H0,Paracetamol,0407010H0AAACAC,Paracetamol 250mg/5ml oral suspension,04: Central Nervous System,400,1,400,6.66667,15.08,14.3394,N,42108911000001100
2025-10,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,WEST MIDLANDS REHABILITATION CENTRE,Y04249,91 OAK TREE LANE,SELLY OAK,BIRMINGHAM,,B29 6JA,0407010F0,Co-codamol (Codeine phosphate/paracetamol),0407010F0AAAHAH,Co-codamol 30mg/500mg tablets,04: Central Nervous System,30,1,30,5,1.34,1.3524,N,42009811000001100
2025-10,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,BCHC ASR PODIATRY,Y08829,MEDICINES OPTIMISATION,WEST HEATH HOSPITAL,BIRMINGHAM,,B38 8HR,0501060D0,Clindamycin hydrochloride,0501060D0AAABAB,Clindamycin 150mg capsules,05: Infections,84,1,84,21,7.91,6.43904,N,41946611000001100
2025-10,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,UCR (INC EICT),Y08859,MEDICINES OPTIMISATION,WEST HEATH HOSPITAL,BIRMINGHAM,,B38 8HR,0501130R0,Nitrofurantoin,0501130R0AAABAB,Nitrofurantoin 100mg capsules,05: Infections,6,1,6,3,1.94,1.66407,N,41952811000001110
2025-10,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,ASR NUTRITION,Y08738,BCHC MEDICINES MANAGEMENT,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,B38 8HR,2003,Wound Management & Other Dressings,20030600446,PolyMem dressing 9cm x 9cm tube,20: Dressings,28,1,28,0,67.76,61.0933,N,18739511000001100
2025-10,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,WEST MIDLANDS REHABILITATION CENTRE,Y04249,91 OAK TREE LANE,SELLY OAK,BIRMINGHAM,,B29 6JA,2380,Skin Fillers And Protectives,23803068001,Medi Derma-S barrier cream,23: Stoma Appliances,28,1,28,0,2.98,2.69866,N,17835111000001102
2025-10,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,WEST MIDLANDS REHABILITATION CENTRE,Y04249,91 OAK TREE LANE,SELLY OAK,BIRMINGHAM,,B29 6JA,1001010P0,Naproxen,1001010P0AAADAD,Naproxen 250mg tablets,10: Musculoskeletal and Joint Diseases,21,1,21,7,0.58,0.5763,N,42107511000001100
