YEAR_MONTH,REGIONAL_OFFICE_NAME,REGIONAL_OFFICE_CODE,ICB_NAME,ICB_CODE,PCO_NAME,PCO_CODE,PRACTICE_NAME,PRACTICE_CODE,ADDRESS_1,ADDRESS_2,ADDRESS_3,ADDRESS_4,POSTCODE,BNF_CHEMICAL_SUBSTANCE_CODE,BNF_CHEMICAL_SUBSTANCE,BNF_PRESENTATION_CODE,BNF_PRESENTATION_NAME,BNF_CHAPTER_PLUS_CODE,QUANTITY,ITEMS,TOTAL_QUANTITY,ADQ_USAGE,NIC,ACTUAL_COST,UNIDENTIFIED,SNOMED_CODE
2025-09,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,ASR NUTRITION,Y08738,BCHC MEDICINES MANAGEMENT,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,B38 8HR,2003,Wound Management & Other Dressings,20033000098,kliniderm Foam dressing 10cm x 10cm square,20: Dressings,7,1,7,0,4.9,4.9,N,39426611000001100
2025-09,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,TISSUE VIABILITY WOUND CLINIC,Y08643,ST STEPHEN'S CENTRE,171 NINEVEH ROAD,BIRMINGHAM,WEST MIDLANDS,B21 0SY,2003,Wound Management & Other Dressings,20033000037,ConvaMax Superabsorber dressing (non-adhesive) 10cm x 20cm rectangular,20: Dressings,30,1,30,0,49.8,49.8,N,38351411000001100
2025-09,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,WEST MIDLANDS REHABILITATION CENTRE,Y04249,91 OAK TREE LANE,SELLY OAK,BIRMINGHAM,,B29 6JA,0902011U0,Potassium chloride,0902011U0BIAAAF,Sando-K effervescent tablets,09: Nutrition and Blood,20,2,40,0,6.04,5.96317,N,3402911000001104
2025-09,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,ACS SPECIALIST,Y08846,MEDICINES OPTIMISATION,WEST HEATH HOSPITAL,BIRMINGHAM,,B38 8HR,0102000N0,Hyoscine butylbromide,0102000N0AAAAAA,Hyoscine butylbromide 20mg/1ml inj ampoules,01: Gastro-Intestinal System,10,2,20,5,8.16,7.7773,N,36044111000001100
2025-09,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,ACS SPECIALIST,Y08846,MEDICINES OPTIMISATION,WEST HEATH HOSPITAL,BIRMINGHAM,,B38 8HR,0407020Q0,Morphine sulfate,0407020Q0AAABAB,Morphine sulfate 10mg/1ml solution for injection ampoules,04: Central Nervous System,10,6,60,20,26.34,26.4144,N,36128211000001110
2025-09,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,ACS SPECIALIST,Y08846,MEDICINES OPTIMISATION,WEST HEATH HOSPITAL,BIRMINGHAM,,B38 8HR,0407020Q0,Morphine sulfate,0407020Q0AACNCN,Morphine sulfate 10mg/5ml oral solution,04: Central Nervous System,100,1,100,2,2.76,2.32,N,36128311000001100
2025-09,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,ACS SPECIALIST,Y08846,MEDICINES OPTIMISATION,WEST HEATH HOSPITAL,BIRMINGHAM,,B38 8HR,0211000P0,Tranexamic acid,0211000P0AAAAAA,Tranexamic acid 500mg/5ml solution for injection ampoules,02: Cardiovascular System,10,1,10,0,15.47,14.70985,N,38750611000001110
2025-09,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,TISSUE VIABILITY WOUND CLINIC,Y08643,ST STEPHEN'S CENTRE,171 NINEVEH ROAD,BIRMINGHAM,WEST MIDLANDS,B21 0SY,2003,Wound Management & Other Dressings,20030100068,Atrauman dressing 10cm x 20cm,20: Dressings,20,1,20,0,19.8,19.8,N,713311000001105
2025-09,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,ACS SPECIALIST,Y08846,MEDICINES OPTIMISATION,WEST HEATH HOSPITAL,BIRMINGHAM,,B38 8HR,0407020Q0,Morphine sulfate,0407020Q0AAADAD,Morphine sulfate 30mg/1ml solution for injection ampoules,04: Central Nervous System,10,2,20,20,96.88,96.9048,N,36128711000001100
2025-09,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,ACS SPECIALIST,Y08846,MEDICINES OPTIMISATION,WEST HEATH HOSPITAL,BIRMINGHAM,,B38 8HR,0402010J0,Haloperidol,0402010J0AAACAC,Haloperidol 5mg/1ml solution for injection ampoules,04: Central Nervous System,10,1,10,0,67.39,53.91475,N,36053511000001110
